gene_id	seqid	start	end	strand
gene_0001	chromosome	1	900	-
gene_0002	chromosome	1101	2000	+
gene_0003	chromosome	2201	3100	+
gene_0004	chromosome	3301	4200	-
gene_0005	chromosome	4401	5300	+
gene_0006	chromosome	5501	6400	+
gene_0007	chromosome	6601	7500	-
gene_0008	chromosome	7701	8600	+
gene_0009	chromosome	8801	9700	+
gene_0010	chromosome	9901	10800	-
gene_0011	chromosome	11001	11900	+
gene_0012	chromosome	12101	13000	+
gene_0013	chromosome	13201	14100	-
gene_0014	chromosome	14301	15200	+
gene_0015	chromosome	15401	16300	+
gene_0016	chromosome	16501	17400	-
gene_0017	chromosome	17601	18500	+
gene_0018	chromosome	18701	19600	+
gene_0019	chromosome	19801	20700	-
gene_0020	chromosome	20901	21800	+
gene_0021	chromosome	22001	22900	+
gene_0022	chromosome	23101	24000	-
gene_0023	chromosome	24201	25100	+
gene_0024	chromosome	25301	26200	+
gene_0025	chromosome	26401	27300	-
gene_0026	chromosome	27501	28400	+
gene_0027	chromosome	28601	29500	+
gene_0028	chromosome	29701	30600	-
gene_0029	chromosome	30801	31700	+
gene_0030	chromosome	31901	32800	+
gene_0031	chromosome	33001	33900	-
gene_0032	chromosome	34101	35000	+
gene_0033	chromosome	35201	36100	+
gene_0034	chromosome	36301	37200	-
gene_0035	chromosome	37401	38300	+
gene_0036	chromosome	38501	39400	+
gene_0037	chromosome	39601	40500	-
gene_0038	chromosome	40701	41600	+
gene_0039	chromosome	41801	42700	+
gene_0040	chromosome	42901	43800	-
gene_0041	chromosome	44001	44900	+
gene_0042	chromosome	45101	46000	+
gene_0043	chromosome	46201	47100	-
gene_0044	chromosome	47301	48200	+
gene_0045	chromosome	48401	49300	+
gene_0046	chromosome	49501	50400	-
gene_0047	chromosome	50601	51500	+
gene_0048	chromosome	51701	52600	+
gene_0049	chromosome	52801	53700	-
gene_0050	chromosome	53901	54800	+
gene_0051	chromosome	55001	55900	+
gene_0052	chromosome	56101	57000	-
gene_0053	chromosome	57201	58100	+
gene_0054	chromosome	58301	59200	+
gene_0055	chromosome	59401	60300	-
gene_0056	chromosome	60501	61400	+
gene_0057	chromosome	61601	62500	+
gene_0058	chromosome	62701	63600	-
gene_0059	chromosome	63801	64700	+
gene_0060	chromosome	64901	65800	+
gene_0061	chromosome	66001	66900	-
gene_0062	chromosome	67101	68000	+
gene_0063	chromosome	68201	69100	+
gene_0064	chromosome	69301	70200	-
gene_0065	chromosome	70401	71300	+
gene_0066	chromosome	71501	72400	+
gene_0067	chromosome	72601	73500	-
gene_0068	chromosome	73701	74600	+
gene_0069	chromosome	74801	75700	+
gene_0070	chromosome	75901	76800	-
gene_0071	chromosome	77001	77900	+
gene_0072	chromosome	78101	79000	+
gene_0073	chromosome	79201	80100	-
gene_0074	chromosome	80301	81200	+
gene_0075	chromosome	81401	82300	+
gene_0076	chromosome	82501	83400	-
gene_0077	chromosome	83601	84500	+
gene_0078	chromosome	84701	85600	+
gene_0079	chromosome	85801	86700	-
gene_0080	chromosome	86901	87800	+
gene_0081	chromosome	88001	88900	+
gene_0082	chromosome	89101	90000	-
gene_0083	chromosome	90201	91100	+
gene_0084	chromosome	91301	92200	+
gene_0085	chromosome	92401	93300	-
gene_0086	chromosome	93501	94400	+
gene_0087	chromosome	94601	95500	+
gene_0088	chromosome	95701	96600	-
gene_0089	chromosome	96801	97700	+
gene_0090	chromosome	97901	98800	+
gene_0091	chromosome	99001	99900	-
gene_0092	chromosome	100101	101000	+
gene_0093	chromosome	101201	102100	+
gene_0094	chromosome	102301	103200	-
gene_0095	chromosome	103401	104300	+
gene_0096	chromosome	104501	105400	+
gene_0097	chromosome	105601	106500	-
gene_0098	chromosome	106701	107600	+
gene_0099	chromosome	107801	108700	+
gene_0100	chromosome	108901	109800	-
gene_0101	chromosome	110001	110900	+
gene_0102	chromosome	111101	112000	+
gene_0103	chromosome	112201	113100	-
gene_0104	chromosome	113301	114200	+
gene_0105	chromosome	114401	115300	+
gene_0106	chromosome	115501	116400	-
gene_0107	chromosome	116601	117500	+
gene_0108	chromosome	117701	118600	+
gene_0109	chromosome	118801	119700	-
gene_0110	chromosome	119901	120800	+
gene_0111	chromosome	121001	121900	+
gene_0112	chromosome	122101	123000	-
gene_0113	chromosome	123201	124100	+
gene_0114	chromosome	124301	125200	+
gene_0115	chromosome	125401	126300	-
gene_0116	chromosome	126501	127400	+
gene_0117	chromosome	127601	128500	+
gene_0118	chromosome	128701	129600	-
gene_0119	chromosome	129801	130700	+
gene_0120	chromosome	130901	131800	+
gene_0121	chromosome	132001	132900	-
gene_0122	chromosome	133101	134000	+
gene_0123	chromosome	134201	135100	+
gene_0124	chromosome	135301	136200	-
gene_0125	chromosome	136401	137300	+
gene_0126	chromosome	137501	138400	+
gene_0127	chromosome	138601	139500	-
gene_0128	chromosome	139701	140600	+
gene_0129	chromosome	140801	141700	+
gene_0130	chromosome	141901	142800	-
gene_0131	chromosome	143001	143900	+
gene_0132	chromosome	144101	145000	+
gene_0133	chromosome	145201	146100	-
gene_0134	chromosome	146301	147200	+
gene_0135	chromosome	147401	148300	+
gene_0136	chromosome	148501	149400	-
gene_0137	chromosome	149601	150500	+
gene_0138	chromosome	150701	151600	+
gene_0139	chromosome	151801	152700	-
gene_0140	chromosome	152901	153800	+
gene_0141	chromosome	154001	154900	+
gene_0142	chromosome	155101	156000	-
gene_0143	chromosome	156201	157100	+
gene_0144	chromosome	157301	158200	+
gene_0145	chromosome	158401	159300	-
gene_0146	chromosome	159501	160400	+
gene_0147	chromosome	160601	161500	+
gene_0148	chromosome	161701	162600	-
gene_0149	chromosome	162801	163700	+
gene_0150	chromosome	163901	164800	+
gene_0151	chromosome	165001	165900	-
gene_0152	chromosome	166101	167000	+
gene_0153	chromosome	167201	168100	+
gene_0154	chromosome	168301	169200	-
gene_0155	chromosome	169401	170300	+
gene_0156	chromosome	170501	171400	+
gene_0157	chromosome	171601	172500	-
gene_0158	chromosome	172701	173600	+
gene_0159	chromosome	173801	174700	+
gene_0160	chromosome	174901	175800	-
gene_0161	chromosome	176001	176900	+
gene_0162	chromosome	177101	178000	+
gene_0163	chromosome	178201	179100	-
gene_0164	chromosome	179301	180200	+
gene_0165	chromosome	180401	181300	+
gene_0166	chromosome	181501	182400	-
gene_0167	chromosome	182601	183500	+
gene_0168	chromosome	183701	184600	+
gene_0169	chromosome	184801	185700	-
gene_0170	chromosome	185901	186800	+
gene_0171	chromosome	187001	187900	+
gene_0172	chromosome	188101	189000	-
gene_0173	chromosome	189201	190100	+
gene_0174	chromosome	190301	191200	+
gene_0175	chromosome	191401	192300	-
gene_0176	chromosome	192501	193400	+
gene_0177	chromosome	193601	194500	+
gene_0178	chromosome	194701	195600	-
gene_0179	chromosome	195801	196700	+
gene_0180	chromosome	196901	197800	+
gene_0181	chromosome	198001	198900	-
gene_0182	chromosome	199101	200000	+
gene_0183	chromosome	200201	201100	+
gene_0184	chromosome	201301	202200	-
gene_0185	chromosome	202401	203300	+
gene_0186	chromosome	203501	204400	+
gene_0187	chromosome	204601	205500	-
gene_0188	chromosome	205701	206600	+
gene_0189	chromosome	206801	207700	+
gene_0190	chromosome	207901	208800	-
gene_0191	chromosome	209001	209900	+
gene_0192	chromosome	210101	211000	+
gene_0193	chromosome	211201	212100	-
gene_0194	chromosome	212301	213200	+
gene_0195	chromosome	213401	214300	+
gene_0196	chromosome	214501	215400	-
gene_0197	chromosome	215601	216500	+
gene_0198	chromosome	216701	217600	+
gene_0199	chromosome	217801	218700	-
gene_0200	chromosome	218901	219800	+
gene_0201	chromosome	220001	220900	+
gene_0202	chromosome	221101	222000	-
gene_0203	chromosome	222201	223100	+
gene_0204	chromosome	223301	224200	+
gene_0205	chromosome	224401	225300	-
gene_0206	chromosome	225501	226400	+
gene_0207	chromosome	226601	227500	+
gene_0208	chromosome	227701	228600	-
gene_0209	chromosome	228801	229700	+
gene_0210	chromosome	229901	230800	+
gene_0211	chromosome	231001	231900	-
gene_0212	chromosome	232101	233000	+
gene_0213	chromosome	233201	234100	+
gene_0214	chromosome	234301	235200	-
gene_0215	chromosome	235401	236300	+
gene_0216	chromosome	236501	237400	+
gene_0217	chromosome	237601	238500	-
gene_0218	chromosome	238701	239600	+
gene_0219	chromosome	239801	240700	+
gene_0220	chromosome	240901	241800	-
gene_0221	chromosome	242001	242900	+
gene_0222	chromosome	243101	244000	+
gene_0223	chromosome	244201	245100	-
gene_0224	chromosome	245301	246200	+
gene_0225	chromosome	246401	247300	+
gene_0226	chromosome	247501	248400	-
gene_0227	chromosome	248601	249500	+
gene_0228	chromosome	249701	250600	+
gene_0229	chromosome	250801	251700	-
gene_0230	chromosome	251901	252800	+
gene_0231	chromosome	253001	253900	+
gene_0232	chromosome	254101	255000	-
gene_0233	chromosome	255201	256100	+
gene_0234	chromosome	256301	257200	+
gene_0235	chromosome	257401	258300	-
gene_0236	chromosome	258501	259400	+
gene_0237	chromosome	259601	260500	+
gene_0238	chromosome	260701	261600	-
gene_0239	chromosome	261801	262700	+
gene_0240	chromosome	262901	263800	+
