gene_id	term_id	term_name	source
gene_0001	GO:0008152	metabolic process	GO
gene_0001	GO:0006355	regulation of transcription	GO
gene_0001	REG:StressR	StressR predicted regulon	Regulon
gene_0002	GO:0008152	metabolic process	GO
gene_0002	GO:0006355	regulation of transcription	GO
gene_0002	REG:StressR	StressR predicted regulon	Regulon
gene_0003	GO:0008152	metabolic process	GO
gene_0003	GO:0006355	regulation of transcription	GO
gene_0003	GO:0006412	translation	GO
gene_0003	REG:StressR	StressR predicted regulon	Regulon
gene_0004	GO:0008152	metabolic process	GO
gene_0004	GO:0006355	regulation of transcription	GO
gene_0004	GO:0006810	transport	GO
gene_0004	REG:StressR	StressR predicted regulon	Regulon
gene_0005	GO:0008152	metabolic process	GO
gene_0005	GO:0006355	regulation of transcription	GO
gene_0005	GO:0005975	carbohydrate metabolic process	GO
gene_0005	REG:StressR	StressR predicted regulon	Regulon
gene_0006	GO:0008152	metabolic process	GO
gene_0006	GO:0006355	regulation of transcription	GO
gene_0006	KEGG:ribosome	Ribosome	KEGG
gene_0006	REG:StressR	StressR predicted regulon	Regulon
gene_0007	GO:0008152	metabolic process	GO
gene_0007	GO:0006355	regulation of transcription	GO
gene_0007	KEGG:oxidative_phosphorylation	Oxidative phosphorylation	KEGG
gene_0007	REG:StressR	StressR predicted regulon	Regulon
gene_0008	GO:0006355	regulation of transcription	GO
gene_0008	COG:J	Translation, ribosomal structure and biogenesis	COG
gene_0008	REG:StressR	StressR predicted regulon	Regulon
gene_0009	GO:0006355	regulation of transcription	GO
gene_0009	COG:K	Transcription	COG
gene_0009	REG:StressR	StressR predicted regulon	Regulon
gene_0010	GO:0006355	regulation of transcription	GO
gene_0010	COG:G	Carbohydrate transport and metabolism	COG
gene_0010	REG:StressR	StressR predicted regulon	Regulon
gene_0011	GO:0006355	regulation of transcription	GO
gene_0011	REG:StressR	StressR predicted regulon	Regulon
gene_0012	GO:0006355	regulation of transcription	GO
gene_0012	REG:StressR	StressR predicted regulon	Regulon
gene_0012	REG:MetR	MetR predicted regulon	Regulon
gene_0013	GO:0008152	metabolic process	GO
gene_0013	GO:0006355	regulation of transcription	GO
gene_0013	REG:StressR	StressR predicted regulon	Regulon
gene_0014	GO:0006355	regulation of transcription	GO
gene_0014	REG:StressR	StressR predicted regulon	Regulon
gene_0015	GO:0006355	regulation of transcription	GO
gene_0015	GO:0006412	translation	GO
gene_0015	REG:StressR	StressR predicted regulon	Regulon
gene_0016	GO:0006355	regulation of transcription	GO
gene_0016	GO:0006412	translation	GO
gene_0016	GO:0006810	transport	GO
gene_0016	REG:StressR	StressR predicted regulon	Regulon
gene_0017	GO:0006355	regulation of transcription	GO
gene_0017	GO:0006412	translation	GO
gene_0017	GO:0005975	carbohydrate metabolic process	GO
gene_0017	REG:StressR	StressR predicted regulon	Regulon
gene_0018	GO:0006355	regulation of transcription	GO
gene_0018	GO:0006412	translation	GO
gene_0018	KEGG:ribosome	Ribosome	KEGG
gene_0018	REG:StressR	StressR predicted regulon	Regulon
gene_0019	GO:0006355	regulation of transcription	GO
gene_0019	GO:0006412	translation	GO
gene_0019	KEGG:oxidative_phosphorylation	Oxidative phosphorylation	KEGG
gene_0019	REG:StressR	StressR predicted regulon	Regulon
gene_0020	GO:0006355	regulation of transcription	GO
gene_0020	GO:0006412	translation	GO
gene_0020	COG:J	Translation, ribosomal structure and biogenesis	COG
gene_0020	REG:StressR	StressR predicted regulon	Regulon
gene_0021	GO:0008152	metabolic process	GO
gene_0021	GO:0006412	translation	GO
gene_0021	COG:K	Transcription	COG
gene_0021	REG:MetR	MetR predicted regulon	Regulon
gene_0022	GO:0008152	metabolic process	GO
gene_0022	GO:0006810	transport	GO
gene_0022	COG:G	Carbohydrate transport and metabolism	COG
gene_0022	REG:MetR	MetR predicted regulon	Regulon
gene_0023	GO:0008152	metabolic process	GO
gene_0023	GO:0006810	transport	GO
gene_0023	REG:StressR	StressR predicted regulon	Regulon
gene_0023	REG:MetR	MetR predicted regulon	Regulon
gene_0024	GO:0008152	metabolic process	GO
gene_0024	GO:0006810	transport	GO
gene_0024	REG:MetR	MetR predicted regulon	Regulon
gene_0025	GO:0008152	metabolic process	GO
gene_0025	GO:0006810	transport	GO
gene_0025	REG:MetR	MetR predicted regulon	Regulon
gene_0026	GO:0008152	metabolic process	GO
gene_0026	GO:0006355	regulation of transcription	GO
gene_0026	GO:0006810	transport	GO
gene_0026	REG:MetR	MetR predicted regulon	Regulon
gene_0027	GO:0008152	metabolic process	GO
gene_0027	GO:0006412	translation	GO
gene_0027	GO:0006810	transport	GO
gene_0027	REG:MetR	MetR predicted regulon	Regulon
gene_0028	GO:0008152	metabolic process	GO
gene_0028	GO:0006810	transport	GO
gene_0028	REG:MetR	MetR predicted regulon	Regulon
gene_0029	GO:0008152	metabolic process	GO
gene_0029	GO:0005975	carbohydrate metabolic process	GO
gene_0029	REG:MetR	MetR predicted regulon	Regulon
gene_0030	GO:0008152	metabolic process	GO
gene_0030	GO:0005975	carbohydrate metabolic process	GO
gene_0030	KEGG:ribosome	Ribosome	KEGG
gene_0030	REG:MetR	MetR predicted regulon	Regulon
gene_0031	GO:0008152	metabolic process	GO
gene_0031	GO:0005975	carbohydrate metabolic process	GO
gene_0031	KEGG:oxidative_phosphorylation	Oxidative phosphorylation	KEGG
gene_0031	REG:MetR	MetR predicted regulon	Regulon
gene_0032	GO:0008152	metabolic process	GO
gene_0032	GO:0005975	carbohydrate metabolic process	GO
gene_0032	COG:J	Translation, ribosomal structure and biogenesis	COG
gene_0032	REG:MetR	MetR predicted regulon	Regulon
gene_0033	GO:0008152	metabolic process	GO
gene_0033	GO:0005975	carbohydrate metabolic process	GO
gene_0033	COG:K	Transcription	COG
gene_0033	REG:MetR	MetR predicted regulon	Regulon
gene_0034	GO:0008152	metabolic process	GO
gene_0034	GO:0005975	carbohydrate metabolic process	GO
gene_0034	COG:G	Carbohydrate transport and metabolism	COG
gene_0034	REG:MetR	MetR predicted regulon	Regulon
gene_0035	GO:0008152	metabolic process	GO
gene_0035	GO:0005975	carbohydrate metabolic process	GO
gene_0035	REG:StressR	StressR predicted regulon	Regulon
gene_0035	REG:MetR	MetR predicted regulon	Regulon
gene_0036	GO:0008152	metabolic process	GO
gene_0036	KEGG:ribosome	Ribosome	KEGG
gene_0036	REG:MetR	MetR predicted regulon	Regulon
gene_0037	GO:0008152	metabolic process	GO
gene_0037	KEGG:ribosome	Ribosome	KEGG
gene_0037	REG:MetR	MetR predicted regulon	Regulon
gene_0038	GO:0008152	metabolic process	GO
gene_0038	GO:0006355	regulation of transcription	GO
gene_0038	KEGG:ribosome	Ribosome	KEGG
gene_0038	REG:MetR	MetR predicted regulon	Regulon
gene_0039	GO:0008152	metabolic process	GO
gene_0039	GO:0006412	translation	GO
gene_0039	KEGG:ribosome	Ribosome	KEGG
gene_0039	REG:MetR	MetR predicted regulon	Regulon
gene_0040	GO:0008152	metabolic process	GO
